Year,File,n_categories,Unfold call idx,Unfold key,Unfold event type,Unfold object type,Unfold dt (s),Read time (s),Drilldown time (s)
2016,./data/BPIC16.jsonocel,7,6,"(Session,6)",taken,Session,24.098893416987266,644.35749682202,57.258793240005616
2016,./data/BPIC16.jsonocel,7,7,"(Session,7)",taken,Session,24.0371041430044,644.35749682202,57.258793240005616
2017,./data/BPIC17.jsonocel,7,1,"(Offer,1)",O_Create Offer,Offer,1.4966050149523653,48.641396949009504,2.8671300759888254
2017,./data/BPIC17.jsonocel,7,2,"(Offer,2)",O_Create Offer,Offer,1.7623743260046467,48.641396949009504,2.8671300759888254
2017,./data/BPIC17.jsonocel,7,3,"(Offer,3)",O_Create Offer,Offer,1.7163746139849536,48.641396949009504,2.8671300759888254
2017,./data/BPIC17.jsonocel,7,4,"(Offer,4)",O_Create Offer,Offer,1.7210918189957738,48.641396949009504,2.8671300759888254
2017,./data/BPIC17.jsonocel,7,5,"(Offer,5)",O_Create Offer,Offer,1.727727206016425,48.641396949009504,2.8671300759888254
2017,./data/BPIC17.jsonocel,7,6,"(Offer,6)",O_Create Offer,Offer,1.778547346999403,48.641396949009504,2.8671300759888254
2017,./data/BPIC17.jsonocel,7,7,"(Offer,7)",O_Create Offer,Offer,1.71483154600719,48.641396949009504,2.8671300759888254
2019,./data/BPIC19.jsonocel,7,1,"(POItem,1)",Record Goods Receipt,POItem,2.9479992679553106,81.01744976802729,8.035822085977998
2019,./data/BPIC19.jsonocel,7,2,"(POItem,2)",Record Goods Receipt,POItem,3.266935541993007,81.01744976802729,8.035822085977998
2019,./data/BPIC19.jsonocel,7,3,"(POItem,3)",Record Goods Receipt,POItem,3.2989639019942842,81.01744976802729,8.035822085977998
2019,./data/BPIC19.jsonocel,7,4,"(POItem,4)",Record Goods Receipt,POItem,3.387453634000849,81.01744976802729,8.035822085977998
2019,./data/BPIC19.jsonocel,7,5,"(POItem,5)",Record Goods Receipt,POItem,3.037955374980811,81.01744976802729,8.035822085977998
2019,./data/BPIC19.jsonocel,7,6,"(POItem,6)",Record Goods Receipt,POItem,3.0257170500117354,81.01744976802729,8.035822085977998
2019,./data/BPIC19.jsonocel,7,7,"(POItem,7)",Record Goods Receipt,POItem,3.302126460999716,81.01744976802729,8.035822085977998
2014,./data/BPIC14.jsonocel,8,1,"(Interaction,1)",Assignment,Interaction,1.2916295769973658,34.19031767395791,3.478072236001026
2014,./data/BPIC14.jsonocel,8,2,"(Interaction,2)",Assignment,Interaction,1.4938734719762579,34.19031767395791,3.478072236001026
2014,./data/BPIC14.jsonocel,8,3,"(Interaction,3)",Assignment,Interaction,1.31637877097819,34.19031767395791,3.478072236001026
2014,./data/BPIC14.jsonocel,8,4,"(Interaction,4)",Assignment,Interaction,1.0905846999958158,34.19031767395791,3.478072236001026
